2025-09-17 17:30:12.489 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-09-17 17:30:17.598 [main] INFO  liquibase.database - Set default schema name to public
2025-09-17 17:30:17.839 [main] INFO  liquibase.changelog - Reading from public.databasechangelog
2025-09-17 17:30:17.916 [main] INFO  liquibase.ui - Database is up to date, no changesets to execute
2025-09-17 17:30:17.917 [main] INFO  liquibase.changelog - Reading from public.databasechangelog
2025-09-17 17:30:17.924 [main] INFO  liquibase.util - UPDATE SUMMARY
2025-09-17 17:30:17.924 [main] INFO  liquibase.util - Run:                          0
2025-09-17 17:30:17.924 [main] INFO  liquibase.util - Previously run:               4
2025-09-17 17:30:17.924 [main] INFO  liquibase.util - Filtered out:                 0
2025-09-17 17:30:17.924 [main] INFO  liquibase.util - -------------------------------
2025-09-17 17:30:17.924 [main] INFO  liquibase.util - Total change sets:            4
2025-09-17 17:30:17.924 [main] INFO  liquibase.util - Update summary generated
2025-09-17 17:30:17.925 [main] INFO  liquibase.command - Command execution complete
2025-09-17 17:30:19.095 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-09-17 17:30:19.127 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.22.Final
2025-09-17 17:30:19.148 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-09-17 17:30:19.307 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-09-17 17:30:19.352 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 17.6
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2025-09-17 17:30:20.005 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-09-17 17:30:20.607 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-09-17 17:30:20.813 [main] INFO  o.s.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-09-17 17:30:21.286 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-09-17 17:30:21.647 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-09-17 17:30:21.656 [main] INFO  com.example.fantasy.FantasyApplication - Started FantasyApplication in 10.538 seconds (process running for 10.792)
2025-09-17 17:43:31.636 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=10m19s12ms).
2025-09-17 18:00:00.946 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=16m29s312ms).
2025-09-17 18:33:13.681 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=33m12s735ms).
2025-09-17 18:49:36.151 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m52s474ms).
2025-09-17 19:05:07.933 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m31s783ms).
2025-09-17 19:20:48.719 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15m40s785ms).
2025-09-17 19:25:34.926 [HikariPool-1:housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=4m46s207ms).
2025-09-17 19:33:30.998 [http-nio-0.0.0.0-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-09-17 19:33:31.062 [http-nio-0.0.0.0-8080-exec-1] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Request][2025-09-17 19:33:31] GET /api/players | Headers: host=192.168.1.5:8080, connection=keep-alive, accept=application/json, text/plain, */*, user-agent=Expo/1017754 CFNetwork/3826.500.111.2.2 Darwin/24.4.0, accept-language=en-GB,en-US;q=0.9,en;q=0.8, accept-encoding=gzip, deflate
2025-09-17 19:33:31.062 [http-nio-0.0.0.0-8080-exec-2] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Request][2025-09-17 19:33:31] GET /api/teams | Headers: host=192.168.1.5:8080, connection=keep-alive, accept=application/json, text/plain, */*, user-agent=Expo/1017754 CFNetwork/3826.500.111.2.2 Darwin/24.4.0, accept-language=en-GB,en-US;q=0.9,en;q=0.8, accept-encoding=gzip, deflate
2025-09-17 19:33:31.193 [http-nio-0.0.0.0-8080-exec-2] INFO  com.example.fantasy.config.ApiLoggingFilter - [API][Response][2025-09-17 19:33:31] GET /api/teams | Status: 200 | Duration: 134ms
